ID,VerseID,Word,Meaning
190,"خر28: 16","شبر","22 سم تقريبا"
191,"خر28: 17","زمرد","حجر كريم شفاف شديد الخضرة"
192,"خر28: 18","بهرمان","نوع من الحجارة الكريمة"
193,"خر28: 19","يشم","حجر كريم و هو العقيق الأحمر"
194,"خر28: 20","زبرجد","حجر كريم لونه أخضر فاتح"
195,"خر28: 30","الاوريم","الانوار"
196,"خر28: 32","الدرع","قميص من حديد يقى الصدر"
197,"خر28: 33","رمانات","لها شكل الرمان"
198,"خر28: 36","صفيحة","قطعة معدنية رقيقة منبسطة"
199,"خر28: 40","قلانس","جمع قلنسوة = برنس يلبس فى الرأس"
200,"خر28: 42","العورة","ما يستره الأنسان من أعضائه"
201,"خر29: 2","ملتوتة","ممزوجة"
202,"خر29: 14","فرثه","الفرث= فضلات الطعام فى معدة الحيوان أو الطير"
203,"خر29: 21","تنضح","ترش"
204,"خر29: 22","الالية","ما تدلى من شحم فى مؤخرة الخروف"
205,"خر29: 26","القص","الصدر"
206,"خر29: 27","الرفيعة","التقدمة المرفوعة للرب"
207,"خر29: 31","تطبخ","تسلق"
208,"خر29: 38","حوليان","حولى = عمره سنة"
209,"خر29: 40","الهين","مكيال للسوائل"
210,"خر30: 1","السنط","نوع من الشجر"
211,"خر30: 2","ذراع","45.75 سم تقريبا"
212,"خر30: 3","تغشيه","تكسوه - تغطيه"
213,"خر30: 13","الشاقل","وحدة موازين  = 11.5 من الجرام"
214,"خر30: 18","مرحضة","مغسلة - حوض للغسيل"
215,"خر30: 23","قاطرا","سائلا"
216,"خر30: 24","سليخة","نوع من الطيب"
217,"خر30: 34","قنة","نوع من الصمغ عطر الريحة"
218,"خر32: 2","اقراط","حلقات معدنية تعلق فى شحمة الاذن"
219,"خر32: 17","المحلة","مكان إقامة الشعب"
220,"خر34: 13","انصابهم","اصنامهم"
221,"خر34: 33","برقعا","غطاء للوجه"
222,"خر35: 9","للرداء","ثوب الكاهن"
223,"خر35: 18","اطنابها","أطناب= حبال تشد الخيمة الى الوتد"
224,"خر35: 22","قلائد","جمع قلادة = عقد"
225,"خر38: 3","الرفوش","الجاروف - المزراة"
226,"خر38: 8","مراءى","جمع مرآة"
227,"خر38: 24","وزنة","تساوى 34 كجم تقريبا"
228,"خر39: 3","قدوها","قطعوها""لاو1: 4"
229,"لاو1: 9","اكارعه","ساق الحيوان تحت الركبة"
230,"لاو1: 15","يحز","يقطع"
231,"لاو1: 16","حوصلته","معدة الطائر"
232,"لاو2: 4","تنور","فرن"
233,"لاو2: 5","الصاج","طبق من الحديديخبزون عليه فوق النار"
234,"لاو2: 7","طاجن","وعاء للقلى"
235,"لاو2: 14","سويقا","سنابل قمح خضراء"
236,"لاو3: 9","العصعص","عظم الزيل"
237,"لاو3: 10","الخاصرتين","الجانبين"
238,"لاو4: 2","مناهي","ممنوعات"
239,"لاو4: 6","ينضح","يرش"
240,"لاو5: 2","دبيب","كل ما يدب على الارض - الزواحف"
241,"لاو5: 4","مفترطا","ينطق بكلام بغير روية"
242,"لاو5: 15","شواقل","الشاقل = 11.5 كجم"
243,"لاو6: 2","جحد","كفر - أنكر من علمه بالأمر"
244,"لاو6: 3","لقطة","ما تجده ملقى على الأرض فتلتقطه"
